"Loss of Employment Income, Household Pulse Survey","","","","","","",""
"Adults in households where someone had a loss in employment income since March 13, 2020","","","","","","",""
"","","Total Loss of Employment Income","","Percent Loss of Employment Income","","",""
"Area","Week","Number","Margin of Error +/-","Percent","Percent Margin of Error +/-","Measure Universe","Total Population age 18+"
"United States","6 - June 4-9, 2020","118531419","1809795","47.8","0.7","247899008","249,170,916"
" -> States","","","","","","","--"
"Alabama","6 - June 4-9, 2020","1684668","143976","45.5","3.9","3701152","3,717,378"
"Alaska","6 - June 4-9, 2020","233598","27702","44.5","5.3","524439","524,925"
"Arizona","6 - June 4-9, 2020","2444829","168756","43.8","3","5587897","5,597,268"
"Arkansas","6 - June 4-9, 2020","881256","110003","39.5","4.9","2233165","2,246,527"
"California","6 - June 4-9, 2020","16471831","640560","55.2","2.2","29820065","29,939,021"
"Colorado","6 - June 4-9, 2020","2171527","145095","48.8","3.3","4448778","4,454,718"
"Connecticut","6 - June 4-9, 2020","1251566","98310","45.9","3.6","2724179","2,732,423"
"Delaware","6 - June 4-9, 2020","336949","29380","44.7","3.9","753523","754,637"
"District of Columbia","6 - June 4-9, 2020","229674","23908","42.4","4.4","541868","542,635"
"Florida","6 - June 4-9, 2020","8151064","479942","47.9","2.8","17005529","17,085,385"
"Georgia","6 - June 4-9, 2020","3795144","309868","48","3.9","7908802","7,955,983"
"Hawaii","6 - June 4-9, 2020","542213","42191","50.8","4","1066405","1,073,229"
"Idaho","6 - June 4-9, 2020","511577","46198","38.7","3.4","1323106","1,343,198"
"Illinois","6 - June 4-9, 2020","4628797","365911","49","3.9","9444825","9,546,424"
"Indiana","6 - June 4-9, 2020","2057326","191302","41.2","3.8","4994922","5,015,550"
"Iowa","6 - June 4-9, 2020","863120","98780","37","4.2","2331292","2,342,905"
"Kansas","6 - June 4-9, 2020","828284","84015","39","4","2123768","2,140,957"
"Kentucky","6 - June 4-9, 2020","1443776","141983","43.4","4.3","3324369","3,344,102"
"Louisiana","6 - June 4-9, 2020","1755229","155689","51.3","4.5","3424230","3,431,432"
"Maine","6 - June 4-9, 2020","476609","41544","45","3.9","1058921","1,065,620"
"Maryland","6 - June 4-9, 2020","1853977","169534","40.8","3.6","4539661","4,586,920"
"Massachusetts","6 - June 4-9, 2020","2579966","218622","48.6","4.1","5305561","5,324,065"
"Michigan","6 - June 4-9, 2020","4263419","239367","55.9","3.1","7625675","7,644,458"
"Minnesota","6 - June 4-9, 2020","1846231","128776","44.3","2.9","4171176","4,241,624"
"Mississippi","6 - June 4-9, 2020","1093916","104120","50.3","4.7","2173858","2,189,670"
"Missouri","6 - June 4-9, 2020","2021506","207992","44.1","4.5","4588702","4,617,880"
"Montana","6 - June 4-9, 2020","337034","32058","41.1","3.9","820066","822,204"
"Nebraska","6 - June 4-9, 2020","509833","57328","36","4","1414703","1,418,191"
"Nevada","6 - June 4-9, 2020","1300099","106245","54.4","4.4","2391679","2,399,457"
"New Hampshire","6 - June 4-9, 2020","476302","46852","44.9","4.4","1061854","1,073,014"
"New Jersey","6 - June 4-9, 2020","3461303","327851","51.5","4.9","6725132","6,776,822"
"New Mexico","6 - June 4-9, 2020","682412","70403","43","4.4","1586764","1,589,574"
"New York","6 - June 4-9, 2020","8153762","427273","55","2.9","14812915","14,847,080"
"North Carolina","6 - June 4-9, 2020","3391807","280456","42.9","3.6","7899331","8,017,566"
"North Dakota","6 - June 4-9, 2020","203457","25693","36.3","4.6","560420","561,016"
"Ohio","6 - June 4-9, 2020","4061450","369475","46.2","4.2","8790497","8,822,539"
"Oklahoma","6 - June 4-9, 2020","1288568","105321","44.3","3.6","2910935","2,916,436"
"Oregon","6 - June 4-9, 2020","1641645","116323","49.8","3.6","3295014","3,302,727"
"Pennsylvania","6 - June 4-9, 2020","4923662","282760","50.7","2.9","9718747","9,776,154"
"Rhode Island","6 - June 4-9, 2020","421117","38021","51.8","4.6","813569","817,559"
"South Carolina","6 - June 4-9, 2020","1776200","146644","44.9","3.7","3954004","3,969,123"
"South Dakota","6 - June 4-9, 2020","232479","29061","36.6","4.5","636026","642,658"
"Tennessee","6 - June 4-9, 2020","2423978","181442","46.9","3.4","5167558","5,221,475"
"Texas","6 - June 4-9, 2020","10245171","510064","48.1","2.4","21313912","21,356,906"
"Utah","6 - June 4-9, 2020","813321","78701","35.8","3.4","2272217","2,281,207"
"Vermont","6 - June 4-9, 2020","207259","23796","42.8","4.9","484159","485,485"
"Virginia","6 - June 4-9, 2020","2474250","263905","38.3","4.1","6454277","6,472,737"
"Washington","6 - June 4-9, 2020","2651565","182141","45.2","3.1","5869586","5,890,357"
"West Virginia","6 - June 4-9, 2020","541996","57318","39.9","4.2","1357905","1,379,576"
"Wisconsin","6 - June 4-9, 2020","1740693","147436","39.5","3.4","4410309","4,438,719"
"Wyoming","6 - June 4-9, 2020","154002","17872","35.7","4.1","431560","433,400"
" -> Metro Areas","","","","","","","--"
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","6 - June 4-9, 2020","2421398","278838","50.3","4.4","4812856","4,854,499"
"Boston-Cambridge-Newton, MA-NH Metro Area","6 - June 4-9, 2020","1725588","172926","48.5","4.4","3557567","3,575,141"
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","6 - June 4-9, 2020","3339349","323339","48.8","4.1","6847823","6,931,752"
"Dallas-Fort Worth-Arlington, TX Metro Area","6 - June 4-9, 2020","3250048","434722","49.9","3.8","6513576","6,520,626"
"Detroit-Warren-Dearborn, MI Metro Area","6 - June 4-9, 2020","2033001","183890","57.5","4.3","3534575","3,540,040"
"Houston-The Woodlands-Sugar Land, TX Metro Area","6 - June 4-9, 2020","3084862","380971","52.9","4.5","5834831","5,851,032"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","6 - June 4-9, 2020","6074547","533865","59.6","3.6","10199526","10,251,593"
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","6 - June 4-9, 2020","2641424","306850","57.5","4.9","4597662","4,625,494"
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","6 - June 4-9, 2020","8026838","454790","55.2","3","14549887","14,625,880"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","6 - June 4-9, 2020","2435096","265461","50.4","4.1","4830558","4,861,090"
"Phoenix-Mesa-Chandler, AZ Metro Area","6 - June 4-9, 2020","1833268","149065","47.1","3.2","3894726","3,902,414"
"Riverside-San Bernardino-Ontario, CA Metro Area","6 - June 4-9, 2020","2605722","348865","59.2","4.8","4404613","4,417,315"
"San Francisco-Oakland-Berkeley, CA Metro Area","6 - June 4-9, 2020","1771696","296644","54.8","5.4","3233291","3,264,739"
"Seattle-Tacoma-Bellevue, WA Metro Area","6 - June 4-9, 2020","1628558","168570","49.2","4","3310980","3,317,524"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6 - June 4-9, 2020","1908051","191688","40.8","3.5","4672769","4,689,114"
"Source: U.S. Census Bureau, Household Pulse Survey","","","","","","",""
